product_name,id,current_price,original_price,discount,discount_rate,short_description,rating_average,inventory_status,brand_name,product_link
Máy đọc sách Kindle Paperwhite 5 (8GB) - Hàng chính hãng,179547641,3729000,4990000,1261000,25,"- Màn hình : 6.8Inch, mật độ hiển thị màn hình 300ppi, đèn điều chỉnh 16 cấp độ- Kích thước : 4.9” x 6.9” x .32” (124.6 x 174.2 x 8.1 mm)- Trọng lượng : 7.23 oz (205 g)- Dung lượng : 8GB hoặc 32GB(bản...",4.8,available,Kindle,https://tiki.vn/product-p179547641.html?spid=179547642
Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,57809866,2120000,2490000,370000,15,"Màn hình giọt nước, viền máy mỏngDù thuộc phân khúc giá rẻ nhưng Điện thoại Xiaomi Redmi 9A lại sở hữu một màn hình tràn viền kích thước cực lớn 6.53 inch với thiết kế theo kiểu giọt nước quen thuộc,...",4.7,available,Xiaomi,https://tiki.vn/product-p57809866.html?spid=57809868
Điện thoại Samsung Galaxy A23 (4GB/128GB) - Hàng chính hãng,170581659,5390000,5690000,300000,5,"Điện thoại Samsung Galaxy A23 mạnh mẽ, mượt mà và camera chất lượngSamsung Galaxy A23 là thiết kế gây ấn tượng mạnh mẽ với người dùng bởi cấu hình ấn tượng cho hiệu năng mạnh mẽ. Bên cạnh đó là tần s...",0.0,available,Samsung,https://tiki.vn/product-p170581659.html?spid=184226480
Điện Thoại Oppo A16 (4GB/64G) - Hàng Chính Hãng,114766715,2990000,3990000,1000000,25,"Thiết kế hiện đại, vẻ ngoài cá tínhĐiện Thoại Oppo A16 có thiết kế mang đến cho người dùng cảm giác mạnh mẽ, cá tính nhưng cũng không kém phần sang trọng, mỏng chỉ 8.4 mm với mặt kính cường lực Panda...",5.0,available,OPPO,https://tiki.vn/product-p114766715.html?spid=114766722
Điện Thoại Nokia G21 (4GB/128GB) - Hàng Chính Hãng,179438706,3550000,0,0,0,"Thiết kế trẻ trungẤn tượng đầu tiên khi mà mình cầm chiếc điện thoại Nokia G21 trên tay là tổng thể của máy khá lớn, mặt lưng được làm từ vật liệu nhựa cùng kiểu thiết kế vân ngang, tạo cho mình một ...",4.7,out_of_stock,Nokia,https://tiki.vn/product-p179438706.html
Tecno Pova 2 6GB l 128GB - Điện Thoại Thông Minh Chiến Game Cực Đỉnh - Hàng Chính Hãng,103046198,3590000,4990000,1400000,28,"Tecno POVA 2 là sự kế thừa trực tiếp của POVA năm ngoái . CPU hiện đã tốt hơn một chút, màn hình hiển thị lớn hơn, nhưng quan trọng nhất là pin hiện đã được đẩy lên 7000mAh, đây là sản phẩm đầu tiên c...",4.8,available,Tecno,https://tiki.vn/product-p103046198.html?spid=168423771
Máy Tính Bảng Samsung Galaxy Tab A7 Lite T225 3GB/32GB - Hàng Chính Hãng,121059239,3289000,4990000,1701000,34,"Máy Tính Bảng Samsung Galaxy Tab A7 Lite T225 3GB/32GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, sạc, cáp dữ liệu, tài liệu hướng dẫn sử dụng, dụng cụ lấy sim và lấy thẻ nhớ. Trọng lượng chỉ ...",5.0,available,Samsung,https://tiki.vn/product-p121059239.html?spid=121059243
Máy Đọc Sách All New Kindle 2019 8GB (10th) – Hàng Chính Hãng,179549113,2160000,2990000,830000,28,Màn hình cảm ứng điện dungMáy Đọc Sách New Kindle Gen 10 (2019) có màn hình cảm ứng điện dung E Ink Carta HD 6 inch với độ phân giải 1430 × 1080 và mật độ hiên thị 167ppi cho hình ảnh và chữ vô cùng ...,4.6,available,Kindle,https://tiki.vn/product-p179549113.html?spid=179549114
Máy đọc sách Kindle PaperWhite Gen 4 (10th) - Bản 8GB - Hàng chính hãng,6597807,2910000,3990000,1080000,27,"Thiết kế mỏng nhẹMáy đọc sách Kindle PaperWhite gen 4 (10th) - Bản 8 GB - Hàng chính hãng được thiết kế cực kỳ mỏng, nhẹ và màn hình sáng hơn. Trọng lượng của máy là 182 gram và dày 8,18 mm, so ...",4.7,available,Kindle,https://tiki.vn/product-p6597807.html?spid=56947752
Điện Thoại Nokia C20 2GB/32GB - Hàng Chính Hãng,135322157,1790000,2490000,700000,28,"Điện Thoại Nokia C20 2GB/32GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, cáp micro USB, sạc, tai nghe, ốp silicon, sách hướng dẫn sử dụng. Thiết Kế Bền Bỉ Theo Thời Gian- Nokia C20 có thiết k...",4.5,available,Nokia,https://tiki.vn/product-p135322157.html?spid=176059930
